skill,
"Computer Science",
"Fundamentals",
"Advanced Techniques",
"Mathematics",
"Data Science",
"Economics",
"Finance",
"Marketing",
"Graphic Design",
"English Language",
"Project Management",
"Web Development",
"Artificial Intelligence",
"Cryptography",
"Network Security",
"Business Analysis",
"Human Resources",
"Digital Marketing",
"Entrepreneurship",
"Public Speaking"
